crop,issue_id,issue_name,category,causal_agent,temp_min_c,temp_opt_c,temp_max_c,rh_min_pct,rh_opt_pct,leaf_wetness_hrs,rain_trigger,soil_ph_min,soil_ph_max,soil_drainage,soil_texture,ndvi_signal,ndmi_signal,ndre_signal,growth_stage,consecutive_dry_days_trigger,consecutive_wet_days_trigger,temp_stress_threshold_c,soil_ec_threshold_ds_m,perfect_temp_min_c,perfect_temp_max_c,perfect_rh_min_pct,perfect_rh_max_pct,perfect_soil_ph_min,perfect_soil_ph_max,perfect_soil_drainage,perfect_rainfall_mm_week,severity,ndvi_threshold,ndmi_threshold,ndre_threshold,rule_logic,notes,recommendation,urgency
Maize,MAIZE_GRAY_LEAF_SPOT,Gray Leaf Spot,Fungal,Cercospora zeae-maydis,22.0,25.0,30.0,90,99,12+ hrs,High humidity,5.8,7.0,Any,Any,NDVI decline,NDMI high,NDRE low,V8–R2,,,,,,,,,5.8,7.0,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Rectangular tan lesions; favored by conservation tillage,Apply strobilurin or triazole fungicide; rotate to non-host; reduce conservation tillage inoculum,Within 3 days
Maize,MAIZE_COMMON_RUST,Common Rust,Fungal,Puccinia sorghi,15.0,20.0,25.0,95,99,6–8 hrs,Dew/drizzle,5.8,7.0,Any,Any,NDVI decline,NDMI high,NDRE moderate,VT–R3,,,,,,,,,5.8,7.0,Any,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Brick-red pustules; cool humid highlands,Apply fungicide at early pustule stage; plant resistant hybrid for next season,Within 3 days
Maize,MAIZE_SOUTHERN_CORN_LEAF_B,Southern Corn Leaf Blight,Fungal,Bipolaris maydis,20.0,26.0,35.0,90,99,10+ hrs,Warm humid,5.8,7.0,Poor,Any,NDVI decline,NDMI high,NDRE low,V6–R4,,,,,,,,,5.8,7.0,Poor,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Tan lesions with brown margins,Apply fungicide; improve drainage; plant resistant variety next season,Within 3 days
Maize,MAIZE_MAIZE_STREAK_VIRUS,Maize Streak Virus,Viral,Maize streak mastrevirus (MSV),20.0,28.0,35.0,Any,Any,,,,,Any,Any,NDVI severe decline,NDMI normal,NDRE very low,V1–V6,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Transmitted by leafhoppers; narrow chlorotic streaks,Control leafhopper vectors with imidacloprid seed treatment or foliar spray; remove and destroy infected plants,Immediately
Maize,MAIZE_FALL_ARMYWORM,Fall Armyworm,Pest,Spodoptera frugiperda,10.0,28.0,38.0,Any,Any,,,,,Any,Any,NDVI patchy decline,NDMI normal,NDRE low,V3–VT,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Defoliation; >28°C accelerates larval development,Apply emamectin benzoate or spinetoram to whorl; inspect at dawn or dusk; use push-pull intercrop,Within 2 days
Maize,MAIZE_AFLATOXIN_ASPERGILLU,Aflatoxin (Aspergillus),Fungal,Aspergillus flavus,25.0,35.0,42.0,80,90,Low (<7),Drought stress,,,Sandy/dry,Any,NDVI stressed,NDMI very low,NDRE low,R3–R6,,,,,,,,,,,Sandy/dry,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Grain contamination; drought+heat trigger,Irrigate immediately to relieve drought stress; harvest at correct maturity; dry grain to <13% moisture rapidly,Today
Maize,MAIZE_STALK_ROT_FUSARIUM,Stalk Rot (Fusarium),Fungal,Fusarium graminearum,20.0,25.0,35.0,80,95,Any,Wet then dry,5.5,7.0,Any,Any,NDVI premature dying,NDMI variable,NDRE low,R4–R6,,,,,,,,,5.5,7.0,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Stalk lodging; follows stress or injury,"Harvest early to minimise lodging losses; scout by pushing stalk — if it collapses, prioritise that block",Within 3 days
Maize,MAIZE_MAIZE_LETHAL_NECROSI,Maize Lethal Necrosis,Viral,MCMV + SCMV co-infection,18.0,26.0,34.0,Any,Any,,,,,Any,Any,NDVI severe,NDMI normal,NDRE very low,V3–VT,,,,,,,,,,,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Co-infection required; vector-borne; East Africa epidemic,Rogue and destroy infected plants immediately; control all insect vectors; use clean certified seed only,Immediately
Maize,MAIZE_DOWNY_MILDEW,Downy Mildew,Fungal/Oomycete,Peronosclerospora spp.,20.0,25.0,32.0,90,99,Dew/rain,Heavy dew,5.5,7.5,Poor,Any,NDVI pale striping,NDMI high,NDRE low,V1–V6,,,,,,,,,5.5,7.5,Poor,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Systemic; white downy growth on young leaves,Apply metalaxyl seed treatment for next season; remove systemically infected plants; improve drainage,Immediately
Rice,RICE_RICE_BLAST,Rice Blast,Fungal,Magnaporthe oryzae,19.0,26.0,28.0,90,99,8–10 hrs,"High RH, dew",5.0,6.5,Flooded,Any,NDVI diamond lesions,NDMI high,NDRE low,Tillering–Heading,,,,,,,,,5.0,6.5,Flooded,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Most destructive rice disease globally,Apply tricyclazole or isoprothiolane fungicide immediately; reduce nitrogen application; maintain good drainage,Today
Rice,RICE_BACTERIAL_LEAF_BLIGH,Bacterial Leaf Blight,Bacterial,Xanthomonas oryzae pv. oryzae,25.0,30.0,35.0,80,95,Rain splash,Heavy rain,5.0,7.0,Flooded,Any,NDVI wilting,NDMI low,NDRE very low,Tillering–Heading,,,,,,,,,5.0,7.0,Flooded,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Water-soaked margins; spreads via irrigation water,Drain field for 5-7 days; avoid overhead irrigation; apply copper-based bactericide; use resistant variety,Within 2 days
Rice,RICE_SHEATH_BLIGHT,Sheath Blight,Fungal,Rhizoctonia solani,25.0,30.0,35.0,95,99,,High humidity,5.5,7.0,Flooded,Any,NDVI lower canopy loss,NDMI high,NDRE low,Tillering–Booting,,,,,,,,,5.5,7.0,Flooded,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Oval gray lesions on sheaths; dense canopy favors,Apply validamycin or propiconazole fungicide at sheath; reduce nitrogen; open canopy for airflow,Within 3 days
Rice,RICE_BROWN_PLANTHOPPER,Brown Planthopper,Pest,Nilaparvata lugens,22.0,28.0,34.0,80,90,,,,,Flooded,Any,NDVI hopperburn,NDMI low post-damage,NDRE low,Tillering–Grain fill,,,,,,,,,,,Flooded,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Hopperburn causes rapid death; N overuse promotes,Apply buprofezin or etofenprox — avoid pyrethroid and carbamate which cause resurgence; drain field temporarily,Today
Rice,RICE_RICE_TUNGRO,Rice Tungro,Viral,RTBV + RTSV,25.0,28.0,35.0,Any,Any,,,,,Flooded,Any,NDVI yellow-orange,NDMI normal,NDRE low,Tillering,,,,,,,,,,,Flooded,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Green leafhopper vector; orange discoloration,Control green leafhopper vector with imidacloprid; rogue infected plants; plant resistant variety,Immediately
Rice,RICE_FALSE_SMUT,False Smut,Fungal,Ustilaginoidea virens,25.0,28.0,32.0,90,99,Rain at heading,High RH,5.5,7.0,Flooded,Any,NDVI green balls,NDMI high,NDRE low,Heading–Grain fill,,,,,,,,,5.5,7.0,Flooded,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Green spore balls replace grains,Apply propiconazole at booting stage; use healthy seed; reduce nitrogen at heading,Within 3 days
Rice,RICE_NECK_ROT_BLAST,Neck Rot (Blast),Fungal,Magnaporthe oryzae,19.0,26.0,28.0,90,99,8+ hrs,Dew/drizzle,5.0,6.5,Flooded,Any,NDVI white panicles,NDMI high,NDRE very low,Heading,,,,,,,,,5.0,6.5,Flooded,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Panicle form of blast; whitehead symptom,Apply tricyclazole at booting; this is the most critical timing — missing it results in complete loss,Today
Rice,RICE_STEM_BORER,Stem Borer,Pest,Scirpophaga incertulas,25.0,30.0,38.0,Any,Any,,,,,Any,Any,NDVI deadheart/whitehead,NDMI normal,NDRE low,Seedling–Heading,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Deadheart (veg) or whitehead (repro),Apply chlorantraniliprole or fipronil granules at planting; clip and transplant seedlings to remove egg masses,Within 3 days
Wheat,WHEAT_YELLOW_STRIPE_RUST,Yellow (Stripe) Rust,Fungal,Puccinia striiformis,7.0,15.0,20.0,90,99,Dew,Cool humid,6.0,7.5,Any,Any,NDVI yellow stripes,NDMI high,NDRE low,Tillering–Heading,,,,,,,,,6.0,7.5,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Cool highland specialist; airborne spores,Apply propiconazole or tebuconazole immediately — yellow rust can spread 50km in a week via wind; scout neighbours,Today
Wheat,WHEAT_STEM_RUST,Stem Rust,Fungal,Puccinia graminis f.sp. tritici,15.0,20.0,30.0,90,99,6+ hrs,Warm humid,6.0,7.5,Any,Any,NDVI reddish lesions,NDMI high,NDRE low,Jointing–Heading,,,,,,,,,6.0,7.5,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Ug99 race is global threat,Apply tebuconazole or propiconazole urgently; notify local agriculture extension — Ug99 is a quarantine concern,Today
Wheat,WHEAT_LEAF_RUST,Leaf Rust,Fungal,Puccinia triticina,10.0,18.0,30.0,90,99,5+ hrs,Dew/drizzle,6.0,7.5,Any,Any,NDVI orange pustules,NDMI moderate,NDRE low,Tillering–Grain fill,,,,,,,,,6.0,7.5,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Most common wheat rust worldwide,Apply triazole fungicide at first pustule; flag leaf timing is critical; protect upper canopy,Within 2 days
Wheat,WHEAT_FUSARIUM_HEAD_BLIGHT,Fusarium Head Blight (Scab),Fungal,Fusarium graminearum,15.0,25.0,35.0,85,99,Wet at flowering,Rain at anthesis,6.0,7.5,Any,Any,NDVI bleached heads,NDMI high,NDRE very low,Anthesis,,,,,,,,,6.0,7.5,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",DON mycotoxin contamination; wet flowering critical,Apply tebuconazole or metconazole at early anthesis — this is the only effective timing; test grain for DON before sale,Today
Wheat,WHEAT_POWDERY_MILDEW,Powdery Mildew,Fungal,Blumeria graminis f.sp. tritici,10.0,17.0,25.0,50,85,Not required,Moderate humidity,6.0,7.5,Any,Any,NDVI white powder,NDMI low,NDRE low,Tillering–Flag leaf,,,,,,,,,6.0,7.5,Any,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",White colonies; dense canopy + N-rich,Apply trifloxystrobin or propiconazole; reduce nitrogen; increase row spacing for airflow,Within 3 days
Wheat,WHEAT_SEPTORIA_LEAF_BLOTCH,Septoria Leaf Blotch,Fungal,Zymoseptoria tritici,10.0,20.0,30.0,85,99,Rain splash,Wet cool,6.0,7.5,Any,Any,NDVI tan blotches,NDMI high,NDRE low,Seedling–Flag leaf,,,,,,,,,6.0,7.5,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Most important in Europe; rain splash spread,Apply fungicide (SDHI + triazole mix) at flag leaf emergence; reduce leaf wetness by wider row spacing,Within 3 days
Wheat,WHEAT_HESSIAN_FLY,Hessian Fly,Pest,Mayetiola destructor,5.0,15.0,25.0,Any,Any,,,,,Any,Any,NDVI stunting,NDMI normal,NDRE low,Seedling–Tillering,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Cool season pest; early planting increases risk,Destroy crop residues; delay planting until fly-free date for your region; use resistant variety,This season
Wheat,WHEAT_BARLEY_YELLOW_DWARF,Barley Yellow Dwarf,Viral,BYDV (Luteovirus),10.0,20.0,30.0,Any,Any,,,,,Any,Any,NDVI yellow/purple tips,NDMI normal,NDRE low,Seedling–Tillering,,,,,,,,,,,Any,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Aphid-vectored; warm autumns increase vector pressure,Control aphid vectors with pyrethroid; plant early to reduce autumn aphid pressure; use tolerant variety,Within 3 days
Soybean,SOYBEAN_ASIAN_SOYBEAN_RUST,Asian Soybean Rust,Fungal,Phakopsora pachyrhizi,15.0,22.0,28.0,90,99,6+ hrs,High RH,6.0,7.0,Any,Any,NDVI tan pustules,NDMI high,NDRE low,R1–R6,,,,,,,,,6.0,7.0,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Fastest spreading soybean disease; warm humid,Apply azoxystrobin + cyproconazole or pyraclostrobin immediately — ASR can cause 80% loss if untreated; 14-day re-apply,Today
Soybean,SOYBEAN_SUDDEN_DEATH_SYNDROM,Sudden Death Syndrome,Fungal,Fusarium virguliforme,10.0,18.0,25.0,80,95,Wet planting,Cool wet early,6.0,7.0,Compacted,Any,NDVI interveinal chlorosis,NDMI normal,NDRE very low,R1–R6,,,,,,,,,6.0,7.0,Compacted,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Root rot + foliar toxin; cool wet planting = risk,Improve drainage; use fungicide seed treatment next season; reduce SCN populations to lower SDS severity,This season
Soybean,SOYBEAN_PHYTOPHTHORA_ROOT_RO,Phytophthora Root Rot,Fungal/Oomycete,Phytophthora sojae,10.0,25.0,35.0,95,99,Soil saturation,Waterlogging,5.5,7.5,Poor,Any,NDVI wilting,NDMI high,NDRE low,Any,,,,,,,,,5.5,7.5,Poor,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Clay/poor drainage; damping off in seedlings,Improve field drainage urgently; use metalaxyl seed treatment next season; plant resistant variety,Within 2 days
Soybean,SOYBEAN_SOYBEAN_CYST_NEMATOD,Soybean Cyst Nematode,Nematode,Heterodera glycines,10.0,25.0,35.0,Any,Any,Soil moisture,Any,5.5,7.5,Any,Any,NDVI patchy stunting,NDMI low,NDRE low,V2–R8,,,,,,,,,5.5,7.5,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Most economically damaging nematode of soybean,Rotate to non-host (corn/sorghum); use resistant SCN variety; collect soil sample and send for HG type,This season
Soybean,SOYBEAN_WHITE_MOLD_SCLEROTIN,White Mold (Sclerotinia),Fungal,Sclerotinia sclerotiorum,15.0,20.0,25.0,90,99,Flowering wet,Cool wet flowering,6.0,7.5,Any,Any,NDVI bleached stems,NDMI high,NDRE low,R1–R3,,,,,,,,,6.0,7.5,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Cool weather + dense canopy; hard sclerotia in soil,Apply boscalid or fluazinam at R1 (first flower); widen row spacing; avoid irrigating during flowering,Within 3 days
Soybean,SOYBEAN_BEAN_POD_MOTH,Bean Pod Moth,Pest,Maruca vitrata,22.0,28.0,36.0,Any,Any,,,,,Any,Any,NDVI pod damage,NDMI normal,NDRE low,Flowering–Pod fill,,,,,,,,,,,Any,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Warm humid; pods webbed and bored,Scout at early morning or evening; apply targeted insecticide; check for natural enemy activity before spraying,Within 1 week
Potato,POTATO_LATE_BLIGHT,Late Blight,Fungal/Oomycete,Phytophthora infestans,10.0,18.0,25.0,90,99,10+ hrs,Cool wet,5.0,7.0,Any,Any,NDVI water-soaked lesions,NDMI high,NDRE low,Any,,,,,,,,,5.0,7.0,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Caused Irish Famine; spreads rapidly in cool wet conditions,Apply chlorothalonil or cymoxanil+mancozeb immediately — late blight spreads 1ha/day in ideal conditions,Today
Potato,POTATO_EARLY_BLIGHT,Early Blight,Fungal,Alternaria solani,24.0,30.0,35.0,80,90,,Warm dry,5.0,7.0,Any,Any,NDVI concentric rings,NDMI low,NDRE low,Any,,,,,,,,,5.0,7.0,Any,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Target-board lesions; stressed/aged plants most susceptible,Apply mancozeb or azoxystrobin at first lesion; maintain consistent irrigation to reduce plant stress,Within 3 days
Potato,POTATO_BACTERIAL_SOFT_ROT,Bacterial Soft Rot,Bacterial,Pectobacterium spp.,20.0,30.0,35.0,90,99,,Wet warm,5.5,7.0,Poor,Any,NDVI collapse,NDMI very high,NDRE very low,Any,,,,,,,,,5.5,7.0,Poor,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}","Mushy rot in tubers; poor drainage, wounds",Improve drainage; avoid wounding during cultivation; harvest promptly; store in cool dry conditions,Within 2 days
Potato,POTATO_POTATO_VIRUS_Y_PVY,Potato Virus Y (PVY),Viral,Potyvirus,15.0,25.0,30.0,Any,Any,,,,,Any,Any,NDVI mosaic/necrosis,NDMI normal,NDRE low,Any,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Aphid-vectored; seed tuber quality critical,Remove and destroy infected plants; control insect vector with recommended insecticide; use certified virus-free planting material,Within 2 days
Potato,POTATO_COMMON_SCAB,Common Scab,Bacterial,Streptomyces scabies,20.0,25.0,32.0,<80%,<80%,,Dry soil,5.2,7.0,Sandy/dry,Any,NDVI normal,NDMI low,NDRE normal,Tuber initiation,,,,,,,,,5.2,7.0,Sandy/dry,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Dry soil pH>5.5 at tuber set; avoid lime near planting,Irrigate consistently at tuber initiation; avoid lime near planting; acidify soil below pH 5.5 if scab-prone,Within 3 days
Potato,POTATO_COLORADO_POTATO_BEET,Colorado Potato Beetle,Pest,Leptinotarsa decemlineata,12.0,25.0,35.0,Any,Any,,,,,Any,Any,NDVI defoliation,NDMI normal,NDRE low,V6–Senescence,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Heavy defoliation; insecticide resistance common,Scout at early morning or evening; apply targeted insecticide; check for natural enemy activity before spraying,Within 2 days
Potato,POTATO_BLACK_LEG,Black Leg,Bacterial,Pectobacterium atrosepticum,15.0,22.0,30.0,90,99,,Wet cool,5.5,7.0,Poor,Any,NDVI black stem base,NDMI high,NDRE very low,Emergence–Canopy,,,,,,,,,5.5,7.0,Poor,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Infected seed pieces + wet soils,Apply copper-based bactericide; reduce leaf wetness via canopy management; use certified disease-free seed,Within 1 week
Cassava,CASSAVA_CASSAVA_MOSAIC_DISEA,Cassava Mosaic Disease,Viral,African Cassava Mosaic Virus (ACMV),20.0,28.0,35.0,Any,Any,,,,,Any,Any,NDVI mosaic pattern,NDMI normal,NDRE low,Any,,,,,,,,,,,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Whitefly vector; most damaging cassava disease in Africa,Rogue and destroy infected plants; use virus-free planting material from certified source; control whitefly with imidacloprid,Immediately
Cassava,CASSAVA_CASSAVA_BROWN_STREAK,Cassava Brown Streak,Viral,CBSV/UCBSV,20.0,28.0,35.0,Any,Any,,,,,Any,Any,NDVI leaf chlorosis,NDMI normal,NDRE low,Any,,,,,,,,,,,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Whitefly vector; tuber necrosis; East Africa,Rogue infected plants; use only certified disease-free cuttings; do not move planting material from affected areas,Immediately
Cassava,CASSAVA_CASSAVA_BACTERIAL_BL,Cassava Bacterial Blight,Bacterial,Xanthomonas axonopodis pv. manihotis,24.0,30.0,35.0,90,99,Rain splash,Wet warm,5.5,7.0,Any,Any,NDVI angular lesions,NDMI high,NDRE low,Any,,,,,,,,,5.5,7.0,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Angular water-soaked lesions; systemic wilting,Apply copper bactericide; remove and destroy infected leaves; plant resistant varieties,Within 3 days
Cassava,CASSAVA_CASSAVA_GREEN_MITE,Cassava Green Mite,Pest,Mononychellus tanajoa,24.0,32.0,40.0,<70%,<70%,,Dry hot,,,Any,Any,NDVI leaf distortion,NDMI very low,NDRE low,Any,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}","Dry hot conditions; leaf lobing, distortion",Apply acaricide (abamectin or fenpyroximate); release predatory mite Typhlodromalus aripo if available,Within 3 days
Cassava,CASSAVA_ANTHRACNOSE,Anthracnose,Fungal,Colletotrichum gloeosporioides,20.0,26.0,35.0,90,99,Rain,Wet warm,5.5,7.5,Any,Any,NDVI stem lesions,NDMI high,NDRE moderate,Any,,,,,,,,,5.5,7.5,Any,,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Die-back of stems and tips,Apply registered fungicide for this pathogen; improve canopy airflow; remove and destroy infected tissue,Within 1 week
Sorghum,SORGHUM_HEAD_SMUT,Head Smut,Fungal,Sphacelotheca reiliana,18.0,25.0,35.0,80,90,Soil infection,Dry warm planting,5.5,7.5,Any,Any,NDVI smutted heads,NDMI normal,NDRE low,Heading,,,,,,,,,5.5,7.5,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Seed/soil-borne; dry warm at germination increases risk,Apply registered fungicide for this pathogen; improve canopy airflow; remove and destroy infected tissue,Within 2 days
Sorghum,SORGHUM_GRAIN_MOLD,Grain Mold,Fungal,Fusarium/Curvularia complex,22.0,28.0,35.0,90,99,Wet at heading,Rain at harvest,,,Any,Any,NDVI moldy panicles,NDMI high,NDRE low,Grain fill–Harvest,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Grain quality loss; warm humid at maturity,Apply registered fungicide for this pathogen; improve canopy airflow; remove and destroy infected tissue,Within 2 days
Sorghum,SORGHUM_ANTHRACNOSE,Anthracnose,Fungal,Colletotrichum sublineolum,22.0,28.0,35.0,90,99,Leaf wetness,Warm wet,5.5,7.5,Any,Any,NDVI red lesions,NDMI high,NDRE low,Any,,,,,,,,,5.5,7.5,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Small red lesions; warm humid tropical conditions,Apply registered fungicide for this pathogen; improve canopy airflow; remove and destroy infected tissue,Within 2 days
Sorghum,SORGHUM_SORGHUM_SHOOT_FLY,Sorghum Shoot Fly,Pest,Atherigona soccata,22.0,30.0,38.0,Any,Any,,,,,Any,Any,NDVI deadheart,NDMI normal,NDRE low,Seedling,,,,,,,,,,,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Early planting + dry conditions = risk,Scout at early morning or evening; apply targeted insecticide; check for natural enemy activity before spraying,Within 2 days
Sorghum,SORGHUM_DOWNY_MILDEW,Downy Mildew,Fungal/Oomycete,Peronosclerospora sorghi,20.0,25.0,32.0,90,99,Dew,Cool humid,5.5,7.5,Poor,Any,NDVI white stripe,NDMI high,NDRE low,Seedling–V6,,,,,,,,,5.5,7.5,Poor,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Systemic infection; seed and soil-borne,Apply metalaxyl-based or copper fungicide; improve drainage; avoid overhead irrigation,Within 2 days
Cotton,COTTON_VERTICILLIUM_WILT,Verticillium Wilt,Fungal,Verticillium dahliae,18.0,22.0,28.0,60,80,Soil moisture,Cool soil,5.5,8.0,Any,Any,NDVI wilting,NDMI low,NDRE very low,Fruiting,,,,,,,,,5.5,8.0,Any,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Soil-borne; cool soils after canopy closure,Apply registered fungicide for this pathogen; improve canopy airflow; remove and destroy infected tissue,Within 2 days
Cotton,COTTON_FUSARIUM_WILT,Fusarium Wilt,Fungal,Fusarium oxysporum f.sp. vasinfectum,22.0,28.0,35.0,70,90,Soil moisture,Warm wet soil,5.0,7.0,Poor,Any,NDVI wilting,NDMI low,NDRE very low,Any,,,,,,,,,5.0,7.0,Poor,,High,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Vascular browning; exacerbated by nematodes,Apply registered fungicide for this pathogen; improve canopy airflow; remove and destroy infected tissue,Within 2 days
Cotton,COTTON_BOLL_WEEVIL,Boll Weevil,Pest,Anthonomus grandis,15.0,28.0,38.0,Any,Any,,,,,Any,Any,NDVI square/boll loss,NDMI normal,NDRE low,Squaring–Boll fill,,,,,,,,,,,Any,,Severe,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.45}]}",Overwinters in crop debris; adults feed on squares,Scout at early morning or evening; apply targeted insecticide; check for natural enemy activity before spraying,Today
